text,category,source,doc_id,processed_text,cluster,predicted_category
"Revolutionary eye injection saved my sight, says first-ever patient. Nicki's eye had collapsed in on itself, but a new gel injection method has saved her vision.",Health,BBC News,10,revolutionari eye inject save sight say firstev patient nicki eye collaps new gel inject method save vision,2,Business
I spent months trying to find out if boosting my gut health could help me age better. Health editor Hugh Pym revamped his diet after a test suggested his gut health appeared to look five years older than he was,Health,BBC News,11,spent month tri find boost gut health could help age better health editor hugh pym revamp diet test suggest gut health appear look five year older,0,Health
"Why the NHS still wastes billions on patients who don't need to be in hospital. The delayed discharge challenge throws up deeper questions about the care system, co-ordination - and whether some patients are over-treated",Health,BBC News,12,nhs still wast billion patient dont need hospital delay discharg challeng throw deeper question care system coordin whether patient overtr,0,Health
Plastic surgeon who fled from inspectors suspended. Dr Sayed Mia tried to flee when inspectors arrived at the central London clinic where he worked.,Health,BBC News,13,plastic surgeon fled inspector suspend say mia tri flee inspector arriv central london clinic work,0,Health
Eye surgeon's advice after his own sight-saving op. Dr Amir Hamid said his sight was saved by quick treatment when he had symptoms of a detached retina.,Health,BBC News,14,eye surgeon advic sightsav amir hamid said sight save quick treatment symptom detach retina,0,Health
"People who come off slimming jabs regain weight four times faster than dieters.  Overweight people shed large amounts on jabs but gain 0. 8 kg a month on average once off them, study shows.",Health,BBC News,15,peopl come slim jab regain weight four time faster dieter overweight peopl shed larg amount jab gain month averag study show,0,Health
"Flu on the rise again after Christmas mixing, says NHS. Cases up after two weeks of decline, as hospitals report rise in slips and falls because of cold snap.",Health,BBC News,16,flu rise christma mix say nhs case two week declin hospit report rise slip fall cold snap,0,Health
Doctors strike called off as union backs latest pay deal. Medics had been set to go on the first national walkout staged by NHS workers on Tuesday in a dispute over pay.,Health,BBC News,17,doctor strike call union back latest pay deal medic set first nation walkout stage nhs worker tuesday disput pay,0,Health
"Long waits for disability benefit claims unacceptable, MPs say. Some people are waiting more than a year to have their claims processed, the Public Accounts Committee says.",Health,BBC News,18,long wait disabl benefit claim unaccept mp say peopl wait year claim process public account committe say,2,Business
"Three NHS trusts still using fax machines, Streeting confesses. The health secretary had made it his personal mission to banish the fax machine from the NHS.",Health,BBC News,19,three nhs trust still use fax machin street confess health secretari made person mission banish fax machin nhs,0,Health
"Parents say babies failed by delayed diagnosis like Jesy Nelson's twins. After Little Mix star Jesy Nelson's revelation that her twins have SMA, parents speak about their children's late diagnoses.",Health,BBC News,20,parent say babies fail delay diagnosis like jesi nelson twin littl mix star jesi nelson revel twin sma parent speak children late diagnos,0,Health
"Junk food TV and online advert ban comes into force. Soft drinks, chocolate, pizzas and ice creams will be targeted in the UK government's plan.",Health,BBC News,21,junk food onlin advert ban come forc soft drink chocol pizza ice cream target govern plan,2,Business
"Wellbeing 2026: Recovery, JOMO and brain boosting supplements. Wellness is a multi-trillion pound industry which continues to grow - and this year is less about maxing out, more about recovering well.",Health,BBC News,22,wellbeing recoveri jomo brain boost supplement well multitrillion pound industry continu grow year less max recov well,2,Business
"The myth of willpower - and why some people struggle to lose weight more than others. Thousands of genes that have an influence on weight, say experts - which means weight loss isn't a level playing field",Health,BBC News,23,myth willpow peopl struggl lose weight other thousand gene influenc weight say expert mean weight loss isnt level play field,0,Health
"Chickenpox vaccines for young children start across UK. For the first time, children will be offered vaccination on the NHS against the common infection which, in rare cases, can be very serious.",Health,BBC News,24,chickenpox vaccin young children start across first time children offer vaccin nhs common infect rare case seriou,0,Health
Surgeon who 'stripped naked in cubicle' struck off. The doctor was working at the Queen Alexandra Hospital in Portsmouth when the incidents happened.,Health,BBC News,25,surgeon strip nake cubicl struck doctor work queen alexandra hospital portsmouth incid happen,0,Health
The debate about whether the NHS should use magic mushrooms to treat depression. Many clinical trials to test the use of psychedelic medicines for conditions such as depression have been underway since 2022 - with surprising results,Health,BBC News,26,debat whether nhs use magic mushroom treat depress mani clinic trial test use psychedel medicin condit depress underway sinc surpris result,0,Health
Flu: How are hospitals in your area affected?. Use our interactive tool to explore the latest flu numbers in your area,Health,BBC News,27,flu hospit area affect use interact tool explor latest flu number area,0,Health
Critical incidents declared at two hospital trusts. NHS bosses are urging people to only come to A&E if it is an emergency.,Health,BBC News,28,critic incid declar two hospital trust nhs boss urg peopl come emerg,0,Health
What is happening to flu this winter - and should you buy a vaccine?. Flu has come early this year with a new mutated version of the virus circulating.,Health,BBC News,29,happen flu winter buy vaccine flu come earli year new mutat version viru circul,0,Health
Toddler finally home from hospital for Christmas. Bertie Melly was in hospital for 18 months after his premature birth in May 2024.,Health,BBC News,30,toddler final home hospital christma berti melli hospital month prematur birth may,0,Health
"Is it a cold, 'super flu' or Covid? How to tell the difference. How to identify whether you have cold, flu or Covid and how to look after yourself.",Health,BBC News,31,cold super flu covid tell differ identifi whether cold flu covid look,0,Health
Flu wave hits England's busiest A&E - hundreds of patients are arriving a day. The BBC visits Leicester Royal Infirmary to witness first-hand how it's coping with an early surge in cases of winter bugs.,Health,BBC News,32,flu wave hit england busiest hundr patient arriv day bbc visit leicest royal infirmari wit firsthand cope earli surg case winter bug,0,Health
What's really going on with flu this winter?. We've been told we're facing an unprecedented superflu. Is it?,Health,BBC News,33,what realli go flu winter weve told face unpreced superflu,2,Business
"Has flu peaked? What the figures tell us. NHS remains on high alert over flu, health bosses say, but there are signs infections are levelling off.",Health,BBC News,34,flu peak figur tell nhs remain high alert flu health boss say sign infect level,0,Health
"Private flu vaccine stocks running low as cases rise. Those eligible for a vaccine can access jabs from the NHS, but experts say that people have turned to pharmacies for convenience.",Health,BBC News,35,privat flu vaccine stock run low case rise elig vaccine access jab nhs expert say peopl turn pharmaci conveni,0,Health
"Ambulance demand spikes as flu season worsens. The service says calls increased by 20% in the past week, fuelled by illnesses such as the flu.",Health,BBC News,36,ambulance demand spike flu season worsen servic say call increas past week fuell ill flu,0,Health
"Some schools disrupted amid rise in flu cases. Flu is on the rise, but ministers say schools should only close in extreme circumstances.",Health,BBC News,37,school disrupt amid rise flu case flu rise minist say school close extrem circumst,2,Business
Flu jabs offered in pub in vaccination drive. Regular pop-up vaccination clinics are available at The Bevy community pub in Brighton.,Health,BBC News,38,flu jab offer pub vaccin drive regular popup vaccin clinic avail bevi commun pub brighton,0,Health
"Much of £11bn Covid scheme fraud 'beyond recovery', report says. The response to the pandemic led to ""enormous outlays of public money which exposed it to the risk of fraud and error"", a report says.",Health,BBC News,39,much covid scheme fraud beyond recoveri report say respons pandem led enorm outlay public money expos risk fraud error report say,2,Business
"Government racks up £100m bill responding to Covid inquiry. BBC analysis shows cost to taxpayer is 50% higher than thought, with inquiry's own costs at £192m.",Health,BBC News,40,govern rack bill respond covid inquiri bbc analysi show cost taxpay higher thought inquiri cost,2,Business
Lockdown could have been avoided - key findings from Covid inquiry. The long-awaited report is published into how well or badly the government handled the Covid pandemic.,Health,BBC News,41,lockdown could avoid key find covid inquiri longawait report publish well badli govern handl covid pandem,0,Health
The Covid Inquiry Podcast.  Baroness Hallett makes her second report into the UK's pandemic response.  With Jim Reed.,Health,BBC News,42,covid inquiri podcast baro hallett make second report uk pandem respons jim reed,2,Business
The private notes and secret documents that tell the inside story of the UK's Covid response. The Covid inquiry is set to publish its second set of findings looking in detail at the huge political decisions that had to be made in 2020.,Health,BBC News,43,privat note secret document tell insid stori uk covid respons covid inquiri set publish second set find look detail huge polit decis made,2,Business
"'Toxic' No 10 culture harmed Covid response, inquiry finds. Boris Johnson, Dominic Cummings and Matt Hanock are all criticised for contributing to poor Covid decision-making.",Health,BBC News,44,toxic cultur harm covid respons inquiri find bori johnson domin cum matt hanock criticis contribut poor covid decisionmak,2,Business
"Covid inquiry hears impact on firms and staff. Business owners describe breaking into tears as they were forced to lay off staff, while workers feared for their jobs",Health,BBC News,45,covid inquiri hear impact firm staff business owner describ break tear forc lay staff worker fear job,2,Business
"UK did 'too little, too late', leading to thousands more Covid deaths - inquiry. Report on government decision-making says delays cost 23,000 lives in the first wave in England.",Health,BBC News,46,littl late lead thousand covid death inquiri report govern decisionmak say delay cost live first wave england,2,Business
What's in the Covid inquiry report. . .,Health,BBC News,47,what covid inquiri report,2,Business
"What is the UK Covid inquiry and how does it work?. The inquiry into the government's handling of the pandemic has heard from politicians, civil servants, experts and bereaved families.",Health,BBC News,48,covid inquiri work inquiri govern handl pandem heard politician civil servant expert bereav famili,2,Business
"Gove apologises after Covid report alleges 'toxic' culture. The ex-senior minister apologises for mistakes in the pandemic, but defends some of the previous government's actions.",Health,BBC News,49,gove apologis covid report alleg toxic cultur exsenior minist apologis mistak pandem defend previou govern action,2,Business
"Faisal Islam: Trump's Greenland threats to allies are without parallel. The US president's latest threats will baffle the leaders of allied nations, writes the BBC's economics editor.",Business,BBC News,50,faisal islam trump greenland threat alli without parallel presid latest threat baffl leader alli nation write bbc econom editor,2,Business
"British Gas took 15 months to refund me £1,500.  It's absurd.  Beth Kojder said it was frustrating it took so long to get her money back, given the ombudsman had ruled in her favour nearly a year ago.",Business,BBC News,51,british ga took month refund absurd beth kojder said frustrat took long get money back given ombudsman rule favour nearli year ago,2,Business
"Trump tariff threat over Greenland 'unacceptable', European leaders say. The US president says several European allies opposed to his plans to buy Greenland will face 10% tariffs from February.",Business,BBC News,52,trump tariff threat greenland unaccept european leader say presid say sever european alli oppos plan buy greenland face tariff februari,2,Business
"Big chains accused of masquerading as independent restaurants on delivery apps. Justina John says independent restaurants are ""small fish trying to swim with the sharks"".",Business,BBC News,53,big chain accus masquerad independ restaur deliveri app justina john say independ restaur small fish tri swim shark,2,Business
"The one measure that can tell us a lot about the state of the UK economy. Consumer confidence levels are rebounding for some in the UK, but older generations look to be immune, writes Faisal Islam.",Business,BBC News,54,one measur tell lot state economy consumer confid level rebound older gener look immun write faisal islam,2,Business
Trump's proposed credit card cap spotlights Americans' debt.  Would it help?.  President Trump's proposal to cap credit card interest rates at 10% - an idea with bipartisan support - received swift backlash from bank executives.,Business,BBC News,55,trump propos credit card cap spotlight american debt would help presid trump propos cap credit card interest rate idea bipartisan support receiv swift backlash bank execut,2,Business
"What tariffs has Trump announced and why?. Trump's volatile trade policy has thrown the world economy into chaos, and put some US prices up.",Business,BBC News,56,tariff trump announc trump volatil trade polici thrown world economy chao put price,2,Business
Government to give cash payouts to people in financial crisis. The replacement for the Household Support Fund aims to help people facing sudden difficulties.,Business,BBC News,57,govern give cash payout peopl financial crisis replac household support fund aim help peopl face sudden difficulti,2,Business
"ChatGPT to carry adverts for some users. OpenAI is also expanding its cheaper subscription tier, ChatGPT Go, to all countries where it operates.",Business,BBC News,58,chatgpt carri advert user openai also expand cheaper subscript tier chatgpt countri oper,2,Business
"Trump to unveil home buying plan involving retirement funds. The housing proposal will let Americans use their 401(k)s for down payments, a Trump economic adviser said.",Business,BBC News,59,trump unveil home buy plan involv retir fund hous propos let american use payment trump econom advis said,2,Business
"Weight loss jabs are 'opportunity' for Leon, boss says. John Vincent says the chain could benefit from the weight loss trend, and sets out his plans to revive the business.",Business,BBC News,60,weight loss jab opportun leon boss say john vincent say chain could benefit weight loss trend set plan reviv business,0,Health
The threat to the US economy from Trump’s fight with the Fed. Donald Trump's stand-off with the US central bank has recalled episodes in other countries - which ended badly for the economy.,Business,BBC News,61,threat economy trump fight fed donald trump standoff central bank recal episod countri end badli economy,2,Business
"Mother of Elon Musk's child sues xAI over Grok deepfakes. The parent company of X and Grok, xAI, launched a counter-suit saying she had violated its terms of service.",Business,BBC News,62,mother elon musk child sue xai grok deepfak parent company grok xai launch countersuit say violat term servic,2,Business
'We're in survival mode': The milk price crisis draining dairy farms. Adam and Lucy Johnstone have seen the money they receive for their milk tumble over the last three months.,Business,BBC News,63,surviv mode milk price crisis drain dairi farm adam luci johnston seen money receiv milk tumbl last three month,2,Business
China and Canada announce tariffs relief after a high-stakes meeting between Carney and Xi. Canola oil and electric cars are at the centre of the deal agreed by Mark Carney and Xi Jinping after years of strained ties.,Business,BBC News,64,china canada announc tariff relief highstak meet carney canola oil electr car centr deal agre mark carney jinp year strain tie,2,Business
"Star Wars boss departs after leading franchise reboot. She oversaw the expansion of the franchise, including five feature films and new TV shows.",Business,BBC News,65,star war boss depart lead franchis reboot oversaw expans franchis includ five featur film new show,1,Entertainment
"CIA director had two-hour meeting with new Venezuelan leader in Caracas. The pair discussed economic opportunities and preventing Venezuela becoming a place for ""America's adversaries"", a US official said.",Business,BBC News,66,cia director twohour meet new venezuelan leader caraca pair discuss econom opportun prevent venezuela becom place america adversari offici said,2,Business
US to cut tariffs on Taiwanese goods after investment pledge. Commerce Secretary Howard Lutnick said the deal would help boost semiconductor production in the US.,Business,BBC News,67,cut tariff taiwanes good investment pledg commerce secretari howard lutnick said deal would help boost semiconductor production,2,Business
"How realistic is India's quest for magnets made of rare earths. India has a $800m plan to make rare earth magnets, aiming to reduce dependence on Chinese imports - but can it work?",Business,BBC News,68,realist india quest magnet made rare earth india plan make rare earth magnet aim reduc depend chines import work,2,Business
'They are essential': How smoke detectors are evolving. AI trained to recognise fire is among the latest developments in fire alarm tech.,Business,BBC News,69,essenti smoke detector evolv train recognis fire among latest develop fire alarm tech,2,Business
"Honey, I shrunk the data centres: Is small the new big?. Huge data centres are being built to handle AI computing but some experts say they aren't necessary.",Business,BBC News,70,honey shrunk data centr small new big huge data centr built handl comput expert say arent necessari,2,Business
Why are more bosses sharing the top job?. More bosses are sharing the top job giving them more time for family and breaks.,Business,BBC News,71,boss share top job boss share top job give time famili break,2,Business
Why luxury carmakers are now building glitzy skyscrapers. Bugatti is the latest auto firm to construct an opulent apartment building for the super rich.,Business,BBC News,72,luxuri carmak build glitzi skyscrap bugatti latest auto firm construct opul apart build super rich,2,Business
"'I had no electricity for six months': US families struggle with soaring energy prices. Rising electricity costs have emerged as a key cost-of-living concern, pushing families further into debt.",Business,BBC News,73,electr six month famili struggl soar energi price rise electr cost emerg key costofliv concern push famili debt,2,Business
Excel: The software that's hard to quit. Companies are trying to wean staff off Excel spreadsheets to centralise control of their data.,Business,BBC News,74,excel softwar that hard quit compani tri wean staff excel spreadsheet centralis control data,2,Business
How tariff disruption will continue reshaping the global economy in 2026. Trump's import levies are still changing the patterns of international trade.,Business,BBC News,75,tariff disrupt continu reshap global economy trump import levi still chang pattern intern trade,2,Business
How the new road safety measures could affect you. The government is proposing lowering alcohol limits for drivers and regular eye tests for older motorists.,Business,BBC News,76,new road safeti measur could affect govern propos lower alcohol limit driver regular eye test older motorist,2,Business
How the defence sector is battling a skills crisis. Attracting younger workers into the defence industry can be challenging.,Business,BBC News,77,defenc sector battl skill crisis attract younger worker defenc industry challeng,2,Business
Swedish workers trial 'friendship hour' to combat loneliness. The pilot project is even giving staff free money to help pay to do activities with their friends.,Business,BBC News,78,swedish worker trial friendship hour combat loneli pilot project even give staff free money help pay activ friend,2,Business
The showers and baths keeping data centre tech cool. Finding greener ways to keep giant new data centres cool is a challenge.,Business,BBC News,79,shower bath keep data centr tech cool find greener way keep giant new data centr cool challeng,2,Business
Why Croatia's capital wants to hold Europe's best Christmas market. The festive events help to put cities on the map and attract millions of tourists.,Business,BBC News,80,croatia capit want hold europ best christma market festiv event help put citi map attract million tourist,2,Business
Will tech trump tradition at bakers and biscuit makers?. Introducing robots and automation to the food industry involves extra hurdles.,Business,BBC News,81,tech trump tradit baker biscuit maker introduc robot autom food industry involv extra hurdl,2,Business
"Should more be done to tackle 'ghost jobs', vacancies that don't exist?. Companies are advertising vacancies that have already been filled or might not have ever existed.",Business,BBC News,82,done tackl ghost job vacanc dont exist compani advertis vacanc alreadi fill might ever exist,2,Business
"Why this month's inflation figure may be good news for you. The rate of inflation, which charts the rising cost of living, has slowed - driven partly by essentials.",Business,BBC News,83,month inflation figur may good news rate inflation chart rise cost live slow driven partli essenti,2,Business
'Warm hub has saved me from loneliness'. An 84-year-old Blackpool pensioner says she found herself in fuel poverty when her husband died.,Business,BBC News,84,warm hub save loneli yearold blackpool pension say found fuel poverti husband die,2,Business
Cafe offers free breakfasts for vulnerable people. Hummingbird Cafe wants to support people who may not be able to afford a hot meal.,Business,BBC News,85,cafe offer free breakfast vulner peopl hummingbird cafe want support peopl may abl afford hot meal,2,Business
"Trump to unveil home buying plan involving retirement funds. The housing proposal will let Americans use their 401(k)s for down payments, a Trump economic adviser said.",Business,BBC News,86,trump unveil home buy plan involv retir fund hous propos let american use payment trump econom advis said,2,Business
Martin Lewis on why you should check your tax code now. Millions of people could be on the wrong tax code.,Business,BBC News,87,martin lewi check tax code million peopl could wrong tax code,2,Business
Government to give cash payouts to people in financial crisis. The replacement for the Household Support Fund aims to help people facing sudden difficulties.,Business,BBC News,88,govern give cash payout peopl financial crisis replac household support fund aim help peopl face sudden difficulti,2,Business
"The real impact of roadworks on the country - and why they're set to get worse. There is a fine balance between the benefits of improved infrastructure, versus the cost of disruption. Does the country have it right?",Business,BBC News,89,real impact roadwork countri theyr set get wors fine balanc benefit improv infrastructur versu cost disrupt countri right,2,Business
"Budget 2025: What's the best and worst that could happen for Labour?. Three days in, after a tax U-turn and partial climbdown on workers' rights, Laura Kuenssberg looks at what impact Budget week might have.",Business,BBC News,90,budget what best worst could happen labour three day tax uturn partial climbdown worker right laura kuenssberg look impact budget week might,2,Business
"Has Britain's budget watchdog become too all-powerful?. Ahead of this week's Budget, some have accused the Office for Budget Responsibility of being a ""straitjacket on growth""",Business,BBC News,91,britain budget watchdog becom allpow ahead week budget accus offic budget respons straitjacket growth,2,Business
The curious case of why Poundland is struggling during a cost-of-living crisis. Why - in an age where so many of us are feeling the financial pinch - are some budget shops on UK high streets having such a tough time?,Business,BBC News,92,curiou case poundland struggl costofliv crisis age mani feel financial pinch budget shop high street tough time,2,Business
"The £5. 30 orange juice that tells the story of why supermarket prices are sky high.  Butter, chocolate, coffee and milk have all seen prices rocket.",Business,BBC News,93,orang juic tell stori supermarket price sky high butter chocol coffe milk seen price rocket,2,Business
Martin Lewis on why you should check your tax code now. Millions of people could be on the wrong tax code.,Business,BBC News,94,martin lewi check tax code million peopl could wrong tax code,2,Business
Martin Lewis on 'the most dangerous form of mainstream debt in the UK'. Martin Lewis explains how building up overdraft debt compares to credit card debt.,Business,BBC News,95,martin lewi danger form mainstream debt martin lewi explain build overdraft debt compar credit card debt,2,Business
The Inquiry. Can Kenya’s plan for digital outsourcing solve its jobs crisis?,Business,BBC News,96,inquiri kenya plan digit outsourc solv job crisis,2,Business
The Inquiry. How did live music evolve into a billion-dollar business for global stars?,Business,BBC News,97,inquiri live music evolv billiondollar business global star,2,Business
"World stock markets brace for turbulence after Trump’s latest tariff shock.  Losses on stocks likely with precious metals forecast to spike even higher after move to impose 25% levies on European alliesTrump threatens 25% tariff on allies over GreenlandAnalysis: tariff threats are bad, but uncertainty is worseGlobal stock markets are bracing for falls when trading resumes on Monday after Donald Trump threatened eight European countries with fresh tariffs until they support his ambition to acquire Greenland. The US president’s plan to impose new trade levies of 10% on goods from Denmark, Norway, Sweden, France, Germany, the UK, the Netherlands and Finland from 1 February, rising to 25% on 1 June, is creating fear in the markets, and among European businesses.",Business,The Guardian,98,world stock market brace turbul trump latest tariff shock loss stock like preciou metal forecast spike even higher move impos levi european alliestrump threaten tariff alli greenlandanalysi tariff threat bad uncertainti worseglob stock market brace fall trade resum monday donald trump threaten eight european countri fresh tariff support ambit acquir greenland presid plan impos new trade levi good denmark norway sweden franc germani netherland finland februari rise june creat fear market among european busi,2,Business
Why Rachel Reeves should give bankers more of the cold shoulder at Davos 2026 | Heather Stewart.  The chancellor has been cosseting City lenders to fuel economic growth but studies show UK plc would be better served by trying to keep them in checkBack-slapping bankers will be thick on the ground in the Swiss ski resort of Davos this week as Rachel Reeves flies in to mix with the global elite.  But she might be wise to treat the finance bros with a certain froideur.,Business,The Guardian,99,rachel reev give banker cold shoulder davo heather stewart chancellor cosset citi lender fuel econom growth studi show plc would better serv tri keep checkbackslap banker thick ground swiss ski resort davo week rachel reev fli mix global elit might wise treat financ bro certain froideur,2,Business
"‘She had a hidden identity’: new film uncovers a mother’s second world war secrets.  In harrowing documentary My Underground Mother, a woman finds out what really happened to her mother in the warWhen journalist Marisa Fox was a young girl, her mother would regale her with stories of her own youth, all of which roiled with drama and consequence.  When she was a 13-year-old girl living in Poland in the late 1930s, on the brink of the Nazi occupation, her mother told her she was pulled away from her mother and put on a boat to Palestine where she spent the rest of the second world war.",Entertainment,The Guardian,100,hidden ident new film uncov mother second world war secret harrow documentari underground mother woman find realli happen mother warwhen journalist marisa fox young girl mother would regal stori youth roil drama consequ yearold girl live poland late brink nazi occup mother told pull away mother put boat palestin spent rest second world war,2,Business
"‘It had to be Jessie Buckley’: star-maker Nina Gold glimpses Oscar chance for Hamnet casting.  Woman who paired Buckley with Paul Mescal in critics’ favourite is contender in new Academy Award categoryIf you were to compile a list of the most powerful people in the movie business, you might start with the auteurs, the A-list actors or the execs who bankroll Oscar-winning projects. But among those better-known powerbrokers is another vital cog in the Hollywood machine: the people with the ability to make and grow stars.",Entertainment,The Guardian,101,jessi buckley starmak nina gold glimps oscar chanc hamnet cast woman pair buckley paul mescal critic favourit contend new academi award categoryif compil list power peopl movie business might start auteur alist actor exec bankrol oscarwin project among betterknown powerbrok anoth vital cog hollywood machin peopl abil make grow star,1,Entertainment
"‘Hollywood has stopped making films for adults’: Sentimental Value and Sirāt contend for European Film Awards – with Oscars set to take note.  Films by Joachim Trier, Óliver Laxe, Mascha Schilinski and Jafar Panahi will jostle for recognition at tomorrow’s event – which has repositioned itself as a major tastemaker during awards seasonThe European Film Awards (EFAs) have long styled themselves as “Europe’s answer to the Oscars”, even if, in terms of boosting commercial successes at the box office, their impact has been negligible.  But as American studios increasingly prioritise franchise sequels over serious drama, and European films vie for major trophies outside the “best international feature” silo, the EFAs are feeling emboldened about becoming a major tastemaker for grownup cinema.",Entertainment,The Guardian,102,hollywood stop make film adult sentiment valu sirt contend european film award oscar set take note film joachim trier liver lax mascha schilinski jafar panahi jostl recognit tomorrow event reposit major tastemak award seasonth european film award efa long style europ answer oscar even term boost commerci success box offic impact neglig american studio increasingli prioritis franchis sequel seriou drama european film vie major trophi outsid best intern featur silo efa feel embolden becom major tastemak grownup cinema,1,Entertainment
"The arrival of Two-Face in the new Batman sequel bodes well for a doom-laden moral epic.  Sebastian Stan is being eyed as district attorney Harvey Dent and his supervillain alter ego – can Gotham residents expect an improvement in the city’s patchy justice system?The arrival in Gotham City of Harvey Dent, AKA Two-Face, is rarely without consequence in Batman sagas.  Tommy Lee Jones’ shrieking, neon-splashed Batman Forever iteration turned the character into a dissociative identity slot machine, endlessly pulling its own lever, while Billy Dee Williams’ take in 1989’s Batman was a promise of future ruin.",Entertainment,The Guardian,103,arriv twofac new batman sequel bode well doomladen moral epic sebastian stan eye district attorney harvey dent supervillain alter ego gotham resid expect improv citi patchi justic systemth arriv gotham citi harvey dent aka twofac rare without consequ batman saga tommi lee jone shriek neonsplash batman forev iter turn charact dissoci ident slot machin endlessli pull lever billi dee william take batman promis futur ruin,2,Business
"The crying game: what Hamnet’s grief-porn debate says about women, cinema – and enormous hawks.  Hamnet and H Is for Hawk fuse themes of loss, birds and elemental female emotion.  But whose fault is it if you remain dry-eyed?‘Is it porn or is it art?” A familiar, even dated question where nudity is involved, and (forgive thumbnail) pretty well-resolved– which is to say: we let the tastemakers decide, and it tips the scale towards “art” if one or both protagonists are not that good-looking.",Entertainment,The Guardian,104,cri game hamnet griefporn debat say women cinema enorm hawk hamnet hawk fuse theme loss bird element femal emot whose fault remain dryeyedi porn art familiar even date question nuditi involv forgiv thumbnail pretti wellresolv say let tastemak decid tip scale toward art one protagonist goodlook,0,Health
"The Rip review – Ben Affleck and Matt Damon tear through flashy Netflix bro thriller.  The longtime friends and colleagues add weight to Joe Carnahan’s enjoyably boisterous Friday night crowdpleaserJanuary has long been a B-movie buffet for those exhausted by prestige awards bait, a month when Gerard Butler and Jason Statham are suddenly commanding wide releases and often No 1 mini-hits.  But as the former’s apocalyptic sequel Greenland 2: Migration lingers in the top five and the latter’s action romp Shelter prepares to premiere, we find two more prominent stars – Oscar winners Ben Affleck and Matt Damon – resigned to the small screen instead.",Entertainment,The Guardian,105,rip review ben affleck matt damon tear flashi netflix bro thriller longtim friend colleagu add weight joe carnahan enjoy boister friday night crowdpleaserjanuari long bmovi buffet exhaust prestig award bait month gerard butler jason statham suddenli command wide releas often minihit former apocalypt sequel greenland migrat linger top five latter action romp shelter prepar premier find two promin star oscar winner ben affleck matt damon resign small screen instead,1,Entertainment
"Matthew McConaughey trademarks ‘All right, all right, all right’ catchphrase in bid to beat AI fakes.  The Oscar winner intends to combat misuse of the famous line from Dazed and Confused by creating ‘a clear perimeter around ownership’ Oscar-winning actor Matthew McConaughey has trademarked his image and voice – including his famous catchphrase: “All right, all right, all right” from the movie Dazed and Confused in an attempt to forestall unauthorised use by artificial intelligence. The Wall Street Journal reported that McConaughey has had eight separate applications approved by the US Patent and Trademark Office in recent weeks, including film clips of the actor standing on a porch and sitting in front of a tree, and an audio clip of him saying: “All right, all right, all right”.",Entertainment,The Guardian,106,matthew mcconaughey trademark right right right catchphras bid beat fake oscar winner intend combat misus famou line daze confus creat clear perimet around ownership oscarwin actor matthew mcconaughey trademark imag voic includ famou catchphras right right right movie daze confus attempt forestal unauthoris use artifici intellig wall street journal report mcconaughey eight separ applic approv patent trademark offic recent week includ film clip actor stand porch sit front tree audio clip say right right right,1,Entertainment
